,img_name,img_path,mask_path
0,A-1.png,../data/train/image/A-1.png,../data/train/mask/A-1.png
1,A-10.png,../data/train/image/A-10.png,../data/train/mask/A-10.png
2,A-100.png,../data/train/image/A-100.png,../data/train/mask/A-100.png
3,A-1000.png,../data/train/image/A-1000.png,../data/train/mask/A-1000.png
4,A-1001.png,../data/train/image/A-1001.png,../data/train/mask/A-1001.png
5,A-1002.png,../data/train/image/A-1002.png,../data/train/mask/A-1002.png
6,A-1003.png,../data/train/image/A-1003.png,../data/train/mask/A-1003.png
7,A-1004.png,../data/train/image/A-1004.png,../data/train/mask/A-1004.png
8,A-1005.png,../data/train/image/A-1005.png,../data/train/mask/A-1005.png
9,A-1006.png,../data/train/image/A-1006.png,../data/train/mask/A-1006.png
10,A-1007.png,../data/train/image/A-1007.png,../data/train/mask/A-1007.png
11,A-1008.png,../data/train/image/A-1008.png,../data/train/mask/A-1008.png
12,A-1009.png,../data/train/image/A-1009.png,../data/train/mask/A-1009.png
13,A-101.png,../data/train/image/A-101.png,../data/train/mask/A-101.png
14,A-1010.png,../data/train/image/A-1010.png,../data/train/mask/A-1010.png
15,A-1011.png,../data/train/image/A-1011.png,../data/train/mask/A-1011.png
16,A-1012.png,../data/train/image/A-1012.png,../data/train/mask/A-1012.png
17,A-1013.png,../data/train/image/A-1013.png,../data/train/mask/A-1013.png
18,A-1014.png,../data/train/image/A-1014.png,../data/train/mask/A-1014.png
19,A-1015.png,../data/train/image/A-1015.png,../data/train/mask/A-1015.png
20,A-1016.png,../data/train/image/A-1016.png,../data/train/mask/A-1016.png
21,A-1017.png,../data/train/image/A-1017.png,../data/train/mask/A-1017.png
22,A-1018.png,../data/train/image/A-1018.png,../data/train/mask/A-1018.png
23,A-1019.png,../data/train/image/A-1019.png,../data/train/mask/A-1019.png
24,A-102.png,../data/train/image/A-102.png,../data/train/mask/A-102.png
25,A-1020.png,../data/train/image/A-1020.png,../data/train/mask/A-1020.png
26,A-1021.png,../data/train/image/A-1021.png,../data/train/mask/A-1021.png
27,A-1022.png,../data/train/image/A-1022.png,../data/train/mask/A-1022.png
28,A-1023.png,../data/train/image/A-1023.png,../data/train/mask/A-1023.png
29,A-1024.png,../data/train/image/A-1024.png,../data/train/mask/A-1024.png
30,A-1025.png,../data/train/image/A-1025.png,../data/train/mask/A-1025.png
31,A-1026.png,../data/train/image/A-1026.png,../data/train/mask/A-1026.png
32,A-1027.png,../data/train/image/A-1027.png,../data/train/mask/A-1027.png
33,A-1028.png,../data/train/image/A-1028.png,../data/train/mask/A-1028.png
